client_id,origination_date,days_past_due
384,2012-05-06,31
385,2012-05-13,26
386,2012-05-20,36
387,2012-05-27,12
388,2012-06-03,9
389,2012-06-10,2
390,2012-06-17,35
391,2012-06-24,27
392,2012-07-01,43
393,2012-07-08,8
394,2012-07-15,7
395,2012-07-22,24
396,2012-07-29,24
397,2012-08-05,18
398,2012-08-12,34
399,2012-08-19,33
400,2012-08-26,21
401,2012-09-02,18
402,2012-09-09,24
403,2012-09-16,3
404,2012-09-23,23
405,2012-09-30,8
406,2012-10-07,7
407,2012-10-14,23
408,2012-10-21,43
409,2012-10-28,11
410,2012-11-04,32
411,2012-11-11,20
412,2012-11-18,29
413,2012-11-25,36
414,2012-12-02,17
415,2012-12-09,11
416,2012-12-16,24
417,2012-12-23,6
418,2012-12-30,22
419,2013-01-06,18
420,2013-01-13,43
421,2013-01-20,44
422,2013-01-27,20
423,2013-02-03,29
424,2013-02-10,14
425,2013-02-17,36
426,2013-02-24,34
427,2013-03-03,7
428,2013-03-10,25
429,2013-03-17,25
430,2013-03-24,46
431,2013-03-31,27
432,2013-04-07,6
433,2013-04-14,21
434,2013-04-21,22
435,2013-04-28,25
436,2013-05-05,28
437,2013-05-12,29
438,2013-05-19,25
439,2013-05-26,10
440,2013-06-02,10
441,2013-06-09,25
442,2013-06-16,19
443,2013-06-23,46
444,2013-06-30,22
445,2013-07-07,26
446,2013-07-14,33
447,2013-07-21,4
448,2013-07-28,19
449,2013-08-04,38
450,2013-08-11,17
451,2013-08-18,25
452,2013-08-25,34
453,2013-09-01,39
454,2013-09-08,38
455,2013-09-15,33
456,2013-09-22,31
457,2013-09-29,28
458,2013-10-06,7
459,2013-10-13,18
460,2013-10-20,47
461,2013-10-27,28
462,2013-11-03,36
463,2013-11-10,38
464,2013-11-17,24
465,2013-11-24,25
466,2013-12-01,44
467,2013-12-08,8
468,2013-12-15,27
469,2013-12-22,24
470,2013-12-29,39
471,2014-01-05,22
472,2014-01-12,20
473,2014-01-19,18
474,2014-01-26,36
475,2014-02-02,22
476,2014-02-09,17
477,2014-02-16,40
478,2014-02-23,31
479,2014-03-02,27
480,2014-03-09,11
481,2014-03-16,20
482,2014-03-23,31
483,2014-03-30,17
484,2014-04-06,22
485,2014-04-13,21
486,2014-04-20,23
487,2014-04-27,29
488,2014-05-04,17
489,2014-05-11,9
490,2014-05-18,20
491,2014-05-25,38
492,2014-06-01,9
493,2014-06-08,24
494,2014-06-15,25
495,2014-06-22,20
496,2014-06-29,13
497,2014-07-06,37
498,2014-07-13,24
499,2014-07-20,25
500,2014-07-27,7
501,2014-08-03,28
502,2014-08-10,20
503,2014-08-17,37
504,2014-08-24,17
505,2014-08-31,21
506,2014-09-07,34
507,2014-09-14,19
508,2014-09-21,24
509,2014-09-28,25
510,2014-10-05,23
511,2014-10-12,9
512,2014-10-19,28
513,2014-10-26,37
514,2014-11-02,19
515,2014-11-09,27
516,2014-11-16,14
517,2014-11-23,38
518,2014-11-30,9
519,2014-12-07,39
520,2014-12-14,15
521,2014-12-21,12
522,2014-12-28,5
523,2015-01-04,26
524,2015-01-11,13
525,2015-01-18,12
526,2015-01-25,19
527,2015-02-01,20
528,2015-02-08,4
529,2015-02-15,24
530,2015-02-22,18
531,2015-03-01,19
532,2015-03-08,24
533,2015-03-15,45
534,2015-03-22,15
535,2015-03-29,30
536,2015-04-05,30
537,2015-04-12,9
538,2015-04-19,13
539,2015-04-26,2
540,2015-05-03,14
541,2015-05-10,18
542,2015-05-17,17
543,2015-05-24,29
544,2015-05-31,24
545,2015-06-07,22
546,2015-06-14,39
547,2015-06-21,28
548,2015-06-28,36
549,2015-07-05,26
550,2015-07-12,14
551,2015-07-19,13
552,2015-07-26,31
553,2015-08-02,33
554,2015-08-09,14
555,2015-08-16,16
556,2015-08-23,14
557,2015-08-30,23
558,2015-09-06,20
559,2015-09-13,25
560,2015-09-20,24
561,2015-09-27,10
562,2015-10-04,8
563,2015-10-11,25
564,2015-10-18,28
565,2015-10-25,28
566,2015-11-01,28
567,2015-11-08,25
568,2015-11-15,29
569,2015-11-22,33
570,2015-11-29,24
571,2015-12-06,32
572,2015-12-13,26
573,2015-12-20,32
574,2015-12-27,22
575,2016-01-03,13
576,2016-01-10,35
577,2016-01-17,5
578,2016-01-24,26
579,2016-01-31,15
580,2016-02-07,42
581,2016-02-14,37
582,2016-02-21,35
583,2016-02-28,18
584,2016-03-06,14
585,2016-03-13,13
586,2016-03-20,44
587,2016-03-27,21
588,2016-04-03,13
589,2016-04-10,30
590,2016-04-17,29
591,2016-04-24,38
592,2016-05-01,12
593,2016-05-08,12
594,2016-05-15,36
595,2016-05-22,38
596,2016-05-29,21
597,2016-06-05,37
598,2016-06-12,24
599,2016-06-19,24
600,2016-06-26,21
601,2016-07-03,37
602,2016-07-10,22
603,2016-07-17,18
604,2016-07-24,7
605,2016-07-31,27
606,2016-08-07,16
607,2016-08-14,24
608,2016-08-21,39
609,2016-08-28,41
610,2016-09-04,15
611,2016-09-11,31
612,2016-09-18,22
613,2016-09-25,17
614,2016-10-02,33
615,2016-10-09,3
616,2016-10-16,39
617,2016-10-23,21
618,2016-10-30,34
619,2016-11-06,16
620,2016-11-13,28
621,2016-11-20,32
622,2016-11-27,21
623,2016-12-04,34
624,2016-12-11,6
625,2016-12-18,23
626,2016-12-25,27
627,2017-01-01,42
628,2017-01-08,21
629,2017-01-15,44
630,2017-01-22,27
631,2017-01-29,24
632,2017-02-05,20
633,2017-02-12,26
634,2017-02-19,38
635,2017-02-26,36
636,2017-03-05,22
637,2017-03-12,27
638,2017-03-19,35
639,2017-03-26,28
640,2017-04-02,22
641,2017-04-09,12
642,2017-04-16,47
643,2017-04-23,44
644,2017-04-30,45
645,2017-05-07,27
646,2017-05-14,25
647,2017-05-21,17
648,2017-05-28,31
649,2017-06-04,31
650,2017-06-11,17
651,2017-06-18,22
652,2017-06-25,21
653,2017-07-02,7
654,2017-07-09,34
655,2017-07-16,11
656,2017-07-23,27
657,2017-07-30,14
658,2017-08-06,27
659,2017-08-13,39
660,2017-08-20,13
661,2017-08-27,2
662,2017-09-03,30
663,2017-09-10,35
664,2017-09-17,6
665,2017-09-24,18
666,2017-10-01,41
667,2017-10-08,8
668,2017-10-15,15
669,2017-10-22,36
670,2017-10-29,25
671,2017-11-05,22
672,2017-11-12,17
673,2017-11-19,37
674,2017-11-26,23
675,2017-12-03,15
676,2017-12-10,18
677,2017-12-17,33
678,2017-12-24,20
679,2017-12-31,1
680,2018-01-07,18
681,2018-01-14,29
682,2018-01-21,10
683,2018-01-28,13
684,2018-02-04,23
685,2018-02-11,9
686,2018-02-18,37
687,2018-02-25,12
688,2018-03-04,21
689,2018-03-11,36
690,2018-03-18,39
691,2018-03-25,22
692,2018-04-01,38
693,2018-04-08,35
694,2018-04-15,29
695,2018-04-22,15
696,2018-04-29,13
697,2018-05-06,30
698,2018-05-13,18
699,2018-05-20,16
700,2018-05-27,37
701,2018-06-03,5
702,2018-06-10,15
703,2018-06-17,26
704,2018-06-24,11
705,2018-07-01,6
706,2018-07-08,20
707,2018-07-15,29
708,2018-07-22,36
709,2018-07-29,31
710,2018-08-05,26
711,2018-08-12,33
712,2018-08-19,12
713,2018-08-26,18
714,2018-09-02,21
715,2018-09-09,29
716,2018-09-16,11
717,2018-09-23,18
718,2018-09-30,23
719,2018-10-07,28
720,2018-10-14,17
721,2018-10-21,19
722,2018-10-28,32
723,2018-11-04,9
724,2018-11-11,22
725,2018-11-18,36
726,2018-11-25,27
727,2018-12-02,23
728,2018-12-09,28
729,2018-12-16,33
730,2018-12-23,20
731,2018-12-30,29
732,2019-01-06,28
733,2019-01-13,11
734,2019-01-20,9
735,2019-01-27,28
736,2019-02-03,15
737,2019-02-10,16
738,2019-02-17,34
739,2019-02-24,16
740,2019-03-03,30
741,2019-03-10,4
742,2019-03-17,21
743,2019-03-24,22
744,2019-03-31,23
745,2019-04-07,12
746,2019-04-14,22
747,2019-04-21,27
748,2019-04-28,44
749,2019-05-05,25
750,2019-05-12,25
751,2019-05-19,44
752,2019-05-26,41
753,2019-06-02,23
754,2019-06-09,26
755,2019-06-16,36
756,2019-06-23,12
757,2019-06-30,41
758,2019-07-07,35
759,2019-07-14,22
760,2019-07-21,26
761,2019-07-28,24
762,2019-08-04,22
763,2019-08-11,28
764,2019-08-18,27
765,2019-08-25,26
766,2019-09-01,26
767,2019-09-08,22
768,2019-09-15,34
769,2019-09-22,48
770,2019-09-29,8
771,2019-10-06,26
772,2019-10-13,22
773,2019-10-20,15
774,2019-10-27,23
775,2019-11-03,3
776,2019-11-10,14
777,2019-11-17,18
778,2019-11-24,20
779,2019-12-01,39
780,2019-12-08,15
781,2019-12-15,17
782,2019-12-22,27
783,2019-12-29,20
784,2020-01-05,45
785,2020-01-12,71
786,2020-01-19,57
787,2020-01-26,56
788,2020-02-02,44
789,2020-02-09,45
790,2020-02-16,72
791,2020-02-23,59
792,2020-03-01,47
793,2020-03-08,68
794,2020-03-15,40
795,2020-03-22,19
796,2020-03-29,46
797,2020-04-05,40
798,2020-04-12,67
799,2020-04-19,35
800,2020-04-26,56
801,2020-05-03,30
802,2020-05-10,49
803,2020-05-17,37
804,2020-05-24,54
805,2020-05-31,29
806,2020-06-07,46
807,2020-06-14,44
808,2020-06-21,37
809,2020-06-28,40
810,2020-07-05,24
811,2020-07-12,48
812,2020-07-19,62
813,2020-07-26,45
814,2020-08-02,58
815,2020-08-09,64
816,2020-08-16,25
817,2020-08-23,43
818,2020-08-30,23
819,2020-09-06,58
820,2020-09-13,39
821,2020-09-20,36
822,2020-09-27,74
823,2020-10-04,49
824,2020-10-11,60
825,2020-10-18,40
826,2020-10-25,29
827,2020-11-01,62
828,2020-11-08,26
829,2020-11-15,61
830,2020-11-22,27
831,2020-11-29,68
832,2020-12-06,51
833,2020-12-13,41
834,2020-12-20,27
835,2020-12-27,32
836,2021-01-03,53
837,2021-01-10,29
838,2021-01-17,74
839,2021-01-24,52
840,2021-01-31,27
841,2021-02-07,45
842,2021-02-14,55
843,2021-02-21,37
844,2021-02-28,31
845,2021-03-07,46
846,2021-03-14,43
847,2021-03-21,63
848,2021-03-28,72
849,2021-04-04,35
850,2021-04-11,71
851,2021-04-18,48
852,2021-04-25,59
853,2021-05-02,43
854,2021-05-09,48
855,2021-05-16,49
856,2021-05-23,27
857,2021-05-30,49
858,2021-06-06,61
859,2021-06-13,26
860,2021-06-20,49
861,2021-06-27,46
862,2021-07-04,54
863,2021-07-11,51
864,2021-07-18,33
865,2021-07-25,40
866,2021-08-01,54
867,2021-08-08,22
868,2021-08-15,53
869,2021-08-22,47
870,2021-08-29,52
871,2021-09-05,39
872,2021-09-12,61
873,2021-09-19,35
874,2021-09-26,62
875,2021-10-03,30
876,2021-10-10,54
877,2021-10-17,43
878,2021-10-24,56
879,2021-10-31,72
880,2021-11-07,39
881,2021-11-14,65
882,2021-11-21,21
883,2021-11-28,57
884,2021-12-05,47
885,2021-12-12,40
886,2021-12-19,36
887,2021-12-26,61
888,2022-01-02,40
889,2022-01-09,30
890,2022-01-16,25
891,2022-01-23,5
892,2022-01-30,30
893,2022-02-06,16
894,2022-02-13,5
895,2022-02-20,28
896,2022-02-27,28
897,2022-03-06,26
898,2022-03-13,14
899,2022-03-20,31
900,2022-03-27,18
901,2022-04-03,20
902,2022-04-10,20
903,2022-04-17,32
904,2022-04-24,20
905,2022-05-01,27
906,2022-05-08,29
907,2022-05-15,28
908,2022-05-22,27
909,2022-05-29,37
910,2022-06-05,19
911,2022-06-12,45
912,2022-06-19,23
913,2022-06-26,28
914,2022-07-03,2
915,2022-07-10,30
916,2022-07-17,15
917,2022-07-24,30
918,2022-07-31,27
919,2022-08-07,31
920,2022-08-14,26
921,2022-08-21,33
922,2022-08-28,40
923,2022-09-04,40
924,2022-09-11,35
925,2022-09-18,27
926,2022-09-25,36
927,2022-10-02,8
928,2022-10-09,39
929,2022-10-16,22
930,2022-10-23,32
931,2022-10-30,27
932,2022-11-06,22
933,2022-11-13,40
934,2022-11-20,22
935,2022-11-27,13
936,2022-12-04,16
937,2022-12-11,30
938,2022-12-18,22
939,2022-12-25,23
940,2023-01-01,37
941,2023-01-08,46
942,2023-01-15,27
943,2023-01-22,15
944,2023-01-29,12
945,2023-02-05,32
946,2023-02-12,15
947,2023-02-19,28
948,2023-02-26,31
949,2023-03-05,27
950,2023-03-12,37
951,2023-03-19,29
952,2023-03-26,40
953,2023-04-02,9
954,2023-04-09,24
955,2023-04-16,27
956,2023-04-23,1
957,2023-04-30,8
958,2023-05-07,12
959,2023-05-14,31
960,2023-05-21,31
961,2023-05-28,6
962,2023-06-04,19
963,2023-06-11,42
964,2023-06-18,15
965,2023-06-25,20
966,2023-07-02,23
967,2023-07-09,12
968,2023-07-16,31
969,2023-07-23,13
970,2023-07-30,14
971,2023-08-06,25
972,2023-08-13,18
973,2023-08-20,24
974,2023-08-27,46
975,2023-09-03,43
976,2023-09-10,32
977,2023-09-17,29
978,2023-09-24,18
979,2023-10-01,7
980,2023-10-08,17
981,2023-10-15,23
982,2023-10-22,28
983,2023-10-29,33
984,2023-11-05,24
985,2023-11-12,36
986,2023-11-19,35
987,2023-11-26,15
988,2023-12-03,25
989,2023-12-10,28
990,2023-12-17,22
991,2023-12-24,22
992,2023-12-31,31
993,2024-01-07,28
994,2024-01-14,36
995,2024-01-21,20
996,2024-01-28,42
997,2024-02-04,6
998,2024-02-11,27
999,2024-02-18,48
1000,2024-02-25,7
1001,2024-03-03,38
1002,2024-03-10,48
1003,2024-03-17,44
1004,2024-03-24,34
1005,2024-03-31,11
1006,2024-04-07,26
1007,2024-04-14,4
1008,2024-04-21,15
1009,2024-04-28,8
1010,2024-05-05,15
1011,2024-05-12,36
1012,2024-05-19,36
1013,2024-05-26,14
1014,2024-06-02,24
1015,2024-06-09,34
1016,2024-06-16,2
1017,2024-06-23,32
1018,2024-06-30,18
1019,2024-07-07,38
1020,2024-07-14,24
1021,2024-07-21,14
1022,2024-07-28,26
1023,2024-08-04,9
1024,2024-08-11,20
1025,2024-08-18,43
1026,2024-08-25,19
1027,2024-09-01,43
1028,2024-09-08,7
1029,2024-09-15,21
1030,2024-09-22,27
1031,2024-09-29,6
1032,2024-10-06,4
1033,2024-10-13,18
1034,2024-10-20,26
1035,2024-10-27,26
1036,2024-11-03,19
1037,2024-11-10,15
1038,2024-11-17,24
1039,2024-11-24,37
1040,2024-12-01,19
1041,2024-12-08,4
1042,2024-12-15,26
1043,2024-12-22,21
1044,2024-12-29,19
